ID,UF_NAME,UF_XML_ID,DEL
83,Stelberry,17e6513e-0bf9-11ec-9139-00155d640301,N
84,Stelberry,23a094a8-0bf9-11ec-9139-00155d640301,N
85,Abloy,ba9439a6-0c97-11ec-913a-00155d640301,Y
86,ВЭРС,81c412c7-0f02-11ec-913a-00155d640301,Y
87,ТЕКО,921fcb5e-0f05-11ec-913a-00155d640301,Y
88,ТЕКО,98b280aa-0f05-11ec-913a-00155d640301,Y
89,Sigur,1219e382-0f07-11ec-913a-00155d640301,N
90,HID,6f8c344f-0f09-11ec-913a-00155d640301,Y
91,Garrett,0f00cc78-0f0a-11ec-913a-00155d640301,Y
92,"Бастион EOL",d8ba88f1-0f0d-11ec-913a-00155d640301,Y
93,NST,d8ba88f2-0f0d-11ec-913a-00155d640301,Y
94,J2000,e209c9d9-0f0d-11ec-913a-00155d640301,Y
95,J2000,e209c9da-0f0d-11ec-913a-00155d640301,Y
96,Nice,711d82ae-0fa7-11ec-913a-00155d640301,N
97,"Nice (запчасти)",711d82af-0fa7-11ec-913a-00155d640301,N
98,"Macroscop NVR LINUX",79499794-0fa7-11ec-913a-00155d640301,N
99,"Macroscop NVR B,E,P",7f63db7e-0fa7-11ec-913a-00155d640301,N
100,J2000,87548821-0fa7-11ec-913a-00155d640301,Y
101,J2000,8df78fc3-0fa7-11ec-913a-00155d640301,Y
102,Effeff,8df78fc4-0fa7-11ec-913a-00155d640301,Y
103,ProxWay,977382c0-0fa7-11ec-913a-00155d640301,Y
104,Aler,977382c1-0fa7-11ec-913a-00155d640301,Y
105,"CARDDEX Турникеты",38bb5a2f-1a18-11ec-913b-00155d640301,Y
106,Commax,8c7f32e9-1f89-11ec-913d-00155d640301,N
107,"Smartec видеонаблюдение",8081f983-1fa2-11ec-913d-00155d640301,N
108,"Trassir Project",ff9b21c1-21c7-11ec-913e-00155d640301,N
109,"Ajax Systems",26228d75-25d0-11ec-913e-00155d640301,N
110,"HiWatch Pro Promo",2ae86c2a-2b35-11ec-9140-00155d640301,N
111,"Came Combo Classico",02e97a5a-2b54-11ec-9140-00155d640301,Y
112,"Came Автоматика, комплектующие для ворот",f918e244-2b5d-11ec-9140-00155d640301,N
113,"Came Запчасти",f918e247-2b5d-11ec-9140-00155d640301,N
114,Dahua,b87a8b6f-300a-11ec-9142-00155d640301,N
115,"Dahua project",a37e1504-300c-11ec-9142-00155d640301,Y
116,"YLI ELECTRONIC",bb6f5dcb-325f-11ec-9144-00155d640301,N
117,DoorHan,8af042f5-3721-11ec-9145-00155d640301,N
118,"CamBox Коробки, кронштейны, столбы",8d586198-37f3-11ec-9145-00155d640301,N
119,Hyperline,d4f4309d-405f-11ec-9149-00155d640301,N
120,БЛОКПОСТ,698b8e0a-413b-11ec-9149-00155d640301,Y
121,"HikCentral Project",4499d9c2-477c-11ec-914e-00155d640301,Y
122,Промикс,917d056e-51bf-11ec-9154-00155d640301,Y
123,Came,8075bfd3-5377-11ec-9155-00155d640301,N
124,"Macroscop ПО",142ace7c-5408-11ec-9156-00155d640301,Y
125,"CARDDEX Шлагбаумы",1a48b695-5408-11ec-9156-00155d640301,Y
126,FAAC,4ba23303-541a-11ec-9156-00155d640301,Y
127,"IDIS Project",f2f7f79f-58d0-11ec-9159-00155d640301,Y
128,Давикон,c9548143-5f0a-11ec-915d-00155d640301,N
129,Accordtec,dd9400b9-5f18-11ec-915d-00155d640301,N
130,SLT,b680e05e-63f4-11ec-915e-00155d640301,Y
131,ЦМО,675eab4e-648d-11ec-915e-00155d640301,N
132,"JUST (Запчасти)",d12a40a8-67bf-11ec-915f-00155d640301,N
133,"DNAKE PRO",df296c48-67bf-11ec-915f-00155d640301,N
134,Телеком-Мастер,c3ef3d61-689e-11ec-915f-00155d640301,Y
135,"Macroscop ПО (LS, ST)",18207a94-79e5-11ec-9162-00155d640301,Y
136,Бастион,c61cca20-827b-11ec-9164-00155d640301,N
137,"UNV (30)",a8da1c68-8e3e-11ec-9168-00155d640301,Y
138,"UNV (20)",e46e53d7-8e42-11ec-9168-00155d640301,Y
139,"UNV (40)",f5bed7fb-8e42-11ec-9168-00155d640301,Y
140,"UNV EOL",fd0959fb-8e50-11ec-9168-00155d640301,Y
141,Kingston,f998d5d6-8fbb-11ec-9168-00155d640301,Y
142,Acer,39eb3823-8fd1-11ec-9168-00155d640301,Y
143,HAMA,ceb703f5-8fd5-11ec-9168-00155d640301,Y
144,Болид,52d618a2-8fe7-11ec-9168-00155d640301,Y
145,Cabeus,1ec53e6b-90b0-11ec-9168-00155d640301,N
146,FARADAY,c6913cec-960b-11ec-9169-00155d640301,Y
147,IEK,b21d9a9e-99f6-11ec-916c-00155d640301,Y
148,"Parsec Project",1a1a1369-a13a-11ec-916f-00155d640301,Y
149,Ростов-Дон,8e387828-a5c7-11ec-9171-00155d640301,Y
150,Biosmart,c1d079d9-a5ed-11ec-9171-00155d640301,Y
151,Gate,3fab9b16-a6be-11ec-9171-00155d640301,Y
152,Промрукав,e5d97a5c-aa9a-11ec-9173-00155d640301,N
153,"AX PRO",758c3ffc-aaa6-11ec-9173-00155d640301,N
154,IFLOW,54beb982-ac0a-11ec-9174-00155d640301,N
155,"Rubezh адресный R3",54beb987-ac0a-11ec-9174-00155d640301,Y
156,Uniarch,8121912c-ac0a-11ec-9174-00155d640301,N
157,Amatek,b6901776-ae84-11ec-9175-00155d640301,Y
